NAME_1,DISTRICT_GADM,wt_prev_diarrhea,wt_prev_diarrhea_pct,n_children,n_eff,ci95_low_pct,ci95_high_pct,pop_total_wp19,pop_density19_km2,ann_precip_mm_per_day_2019,GID_2,GID_0,COUNTRY,GID_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,HH7,HH7A,se,ci95_low,ci95_high,wt_prev_diarrhea_feat,wt_prev_diarrhea_pct_feat,n_children_feat,n_eff_feat,ci95_low_feat,ci95_high_feat,ci95_low_pct_feat,ci95_high_pct_feat,area_km2,pop_mean_ppp19
Mymensingh,Jamalpur,0.0397651923637407,3.98,263.0,261.07398395343427,1.61,6.35,2434509.25,1178.918515069837,10.54242665525114,BGD.8.5_1,BGD,Bangladesh,BGD.8_1,NA,Jamalpur,NA,NA,Zila,Distict,3039,BD.MM.TA,Mymenshing,Jamalpur,0.0120936798607807,0.0160615798366105,0.063468804890871,0.0397651923637407,3.98,263.0,261.07398395343427,0.0160615798366105,0.063468804890871,1.61,6.35,2065.036063884181,9.612573688221335
Mymensingh,Mymensingh,0.1058324227241807,10.58,470.0,468.011457469014,7.8,13.37,5703310.0,1312.560246426082,10.54242665525114,BGD.8.10_1,BGD,Bangladesh,BGD.8_1,NA,Mymensingh,NA,NA,Zila,Distict,3061,BD.MM.TA,Mymenshing,Mymensingh,0.0142197049631727,0.0779618009963621,0.1337030444519994,0.1058324227241807,10.58,470.0,468.011457469014,0.0779618009963621,0.1337030444519994,7.8,13.37,4345.179595016164,10.244319947407089
Mymensingh,Netrakona,0.1140107033731812,11.4,375.0,359.15470224541394,8.11,14.69,,,,BGD.8.13_1,BGD,Bangladesh,BGD.8_1,NA,Netrakona,NA,NA,Zila,Distict,3072,BD.MM.TA,Mymenshing,Netrokona,0.0167705100705736,0.0811405036348568,0.1468809031115056,,,,,,,,,,
Mymensingh,Sherpur,0.0291761956778245,2.92,280.0,278.69578729071173,0.94,4.89,1433030.625,1080.8916315866722,10.54242665525114,BGD.8.16_1,BGD,Bangladesh,BGD.8_1,NA,Sherpur,NA,NA,Zila,Distict,3089,BD.MM.TA,Mymenshing,Sherpur,0.0100813649751556,0.0094167203265194,0.0489356710291295,0.0291761956778245,2.92,280.0,278.69578729071173,0.0094167203265194,0.0489356710291295,0.94,4.89,1325.78565984123,8.426617811360696
Rajshahi,Bogra,0.0567199998646505,5.67,300.0,294.82754522801616,3.03,8.31,,,,BGD.5.1_1,BGD,Bangladesh,BGD.5_1,NA,Bogra,NA,NA,Zila,Distict,5010,BD.RS.SR,Rajshahi,Bogura,0.0134711414251266,0.0303165626714022,0.0831234370578987,,,,,,,,,,
Rajshahi,Joypurhat,0.0504714722248953,5.05,244.0,241.9048707920228,2.29,7.81,962024.75,1002.220907866984,10.54242665525114,BGD.5.2_1,BGD,Bangladesh,BGD.5_1,NA,Joypurhat,NA,NA,Zila,Distict,5038,BD.RS.SR,Rajshahi,Joypurhat,0.0140752036952255,0.0228840729822533,0.0780588714675373,0.0504714722248953,5.05,244.0,241.9048707920228,0.0228840729822533,0.0780588714675373,2.29,7.81,959.892916270792,7.814033627096617
Rajshahi,Naogaon,0.049227540071196,4.92,227.0,219.70597242320932,2.06,7.78,2762884.0,803.4272725118366,10.54242665525114,BGD.5.3_1,BGD,Bangladesh,BGD.5_1,NA,Naogaon,NA,NA,Zila,Distict,5064,BD.RS.SR,Rajshahi,Naogaon,0.0145955825146071,0.0206201983425659,0.0778348817998261,0.049227540071196,4.92,227.0,219.7059724232093,0.0206201983425659,0.0778348817998261,2.06,7.78,3438.8725582617008,6.750596168881939
Rajshahi,Natore,0.0630455300198454,6.3,279.0,276.4395210028288,3.44,9.17,1863543.75,978.564928508214,10.54242665525114,BGD.5.4_1,BGD,Bangladesh,BGD.5_1,NA,Natore,NA,NA,Zila,Distict,5069,BD.RS.SR,Rajshahi,Natore,0.014617945148125,0.0343943575295203,0.0916967025101705,0.0630455300198454,6.3,279.0,276.4395210028288,0.0343943575295203,0.0916967025101705,3.44,9.17,1904.3639269199064,8.375816325154725
Rajshahi,Nawabganj,0.0385631758647907,3.86,381.0,378.4136652619423,1.92,5.8,,,,BGD.5.5_1,BGD,Bangladesh,BGD.5_1,NA,Nawabganj,NA,NA,Zila,Distict,5070,BD.RS.SR,Rajshahi,Chapai Nawabganj,0.0098983627805995,0.0191623848148155,0.0579639669147659,,,,,,,,,,
Rajshahi,Pabna,0.070299278776904,7.03,343.0,336.1359148282333,4.3,9.76,2803515.5,1173.3163663746072,10.54242665525114,BGD.5.6_1,BGD,Bangladesh,BGD.5_1,NA,Pabna,NA,NA,Zila,Distict,5076,BD.RS.SR,Rajshahi,Pabna,0.0139440701785222,0.0429689012270003,0.0976296563268077,0.070299278776904,7.03,343.0,336.1359148282333,0.0429689012270003,0.0976296563268077,4.3,9.76,2389.3943529165053,10.30030164083798
