HH7,HH7A,n_children,n_eff,wt_prev_diarrhea,se,ci95_low,ci95_high,wt_prev_diarrhea_pct,ci95_low_pct,ci95_high_pct
Rangpur,Kurigram,338.0,334.6468085062385,0.0785781567278858,0.01470912458616337,0.0497482725390056,0.107408040916766,7.86,4.97,10.74
Rangpur,Lalmonirhat,362.0,358.6923931160812,0.06616634524258125,0.013124786600606638,0.040441763505392234,0.09189092697977026,6.62,4.04,9.19
Rangpur,Nilphamari,381.0,361.90852843880583,0.019297786635091213,0.00723140889613215,0.005124225198672198,0.033471348071510226,1.93,0.51,3.35
Rangpur,Panchagarh,361.0,359.3027349756775,0.01302989566502295,0.005982630855803434,0.0013039391876482186,0.02475585214239768,1.3,0.13,2.48
Rangpur,Rangpur,330.0,325.021489120068,0.03220976210630167,0.009793283780864862,0.013014925895806544,0.0514045983167968,3.22,1.3,5.14
Rangpur,Thakurgaon,370.0,362.9119443112672,0.015769014721224137,0.006539584636529514,0.0029514288336262903,0.028586600608821983,1.58,0.3,2.86
Sylhet,Habiganj,493.0,462.71660865720565,0.06442346235031682,0.011413113802652041,0.04205375929711882,0.08679316540351481,6.44,4.21,8.68
Sylhet,Maulvibazar,447.0,364.1430418184186,0.015794496887018686,0.006533708956369891,0.0029884273325336986,0.028600566441503675,1.58,0.3,2.86
Sylhet,Sunamganj,544.0,486.27342565292275,0.050043656465122106,0.00988749034500949,0.030664175388903505,0.0694231375413407,5.0,3.07,6.94
Sylhet,Sylhet,492.0,433.4185177155268,0.0983806228512171,0.014305817189776226,0.0703412211592557,0.1264200245431785,9.84,7.03,12.64
